ID,Client IP,System Name,Status,Hostname,OS Name,License Status,Disk Space (GB),RAM (GB),AV Status,Firewall Status,Raw JSON/Error
98,10.1.1.184,,Failed,,,,,,,,"""Port Closed"""
99,10.1.1.186,,Failed,,,,,,,,"""Port Closed"""
100,10.1.1.185,,Failed,,,,,,,,"""Port Closed"""
101,10.1.1.19,,Failed,,,,,,,,"""Port Closed"""
102,10.1.1.190,,Failed,,,,,,,,"""Port Closed"""
103,10.1.1.191,,Failed,,,,,,,,"""Port Closed"""
104,10.1.1.192,,Failed,,,,,,,,"""Port Closed"""
105,10.1.1.193,,Failed,,,,,,,,"""Port Closed"""
106,10.1.1.194,,Failed,,,,,,,,"""Port Closed"""
107,10.1.1.195,,Failed,,,,,,,,"""Port Closed"""
108,10.1.1.196,,Failed,,,,,,,,"""Port Closed"""
109,10.1.1.197,,Failed,,,,,,,,"""Port Closed"""
110,10.1.1.198,,Failed,,,,,,,,"""Port Closed"""
111,10.1.1.199,,Failed,,,,,,,,"""Port Closed"""
112,10.1.1.20,,Failed,,,,,,,,"""Port Closed"""
113,10.1.1.200,,Failed,,,,,,,,"""Port Closed"""
114,10.1.1.201,,Failed,,,,,,,,"""Port Closed"""
115,10.1.1.202,,Failed,,,,,,,,"""Port Closed"""
116,10.1.1.203,,Failed,,,,,,,,"""Port Closed"""
117,10.1.1.204,,Failed,,,,,,,,"""Port Closed"""
118,10.1.1.205,,Failed,,,,,,,,"""Port Closed"""
119,10.1.1.206,,Failed,,,,,,,,"""Port Closed"""
120,10.1.1.207,,Failed,,,,,,,,"""Port Closed"""
121,10.1.1.208,,Failed,,,,,,,,"""Port Closed"""
122,10.1.1.209,,Failed,,,,,,,,"""Port Closed"""
123,10.1.1.21,,Failed,,,,,,,,"""Port Closed"""
124,10.1.1.211,,Failed,,,,,,,,"""Port Closed"""
125,10.1.1.210,,Failed,,,,,,,,"""Port Closed"""
126,10.1.1.212,,Failed,,,,,,,,"""Port Closed"""
127,10.1.1.213,,Failed,,,,,,,,"""Port Closed"""
128,10.1.1.214,,Failed,,,,,,,,"""Port Closed"""
129,10.1.1.215,,Failed,,,,,,,,"""Port Closed"""
130,10.1.1.216,,Failed,,,,,,,,"""Port Closed"""
131,10.1.1.217,,Failed,,,,,,,,"""Port Closed"""
132,10.1.1.218,,Failed,,,,,,,,"""Port Closed"""
133,10.1.1.219,,Failed,,,,,,,,"""Port Closed"""
134,10.1.1.22,,Failed,,,,,,,,"""Port Closed"""
135,10.1.1.220,,Failed,,,,,,,,"""Port Closed"""
136,10.1.1.221,,Failed,,,,,,,,"""Port Closed"""
137,10.1.1.222,,Failed,,,,,,,,"""Port Closed"""
138,10.1.1.223,,Failed,,,,,,,,"""Port Closed"""
139,10.1.1.224,,Failed,,,,,,,,"""Port Closed"""
140,10.1.1.225,,Failed,,,,,,,,"""Port Closed"""
141,10.1.1.226,,Failed,,,,,,,,"""Port Closed"""
142,10.1.1.227,,Failed,,,,,,,,"""Port Closed"""
143,10.1.1.228,,Failed,,,,,,,,"""Port Closed"""
144,10.1.1.229,,Failed,,,,,,,,"""Port Closed"""
145,10.1.1.23,,Failed,,,,,,,,"""Port Closed"""
146,10.1.1.230,,Failed,,,,,,,,"""Port Closed"""
147,10.1.1.231,,Failed,,,,,,,,"""Port Closed"""
148,10.1.1.232,,Failed,,,,,,,,"""Port Closed"""
